,car,body,mileage,engV,engType,registration,year,drive
2246,33,5,140,1.4,3,1,2009,0
7578,12,3,0,1.4,3,1,2016,0
4635,43,4,350,1.9,0,1,2003,0
7842,26,3,300,2.8,1,1,1979,2
3501,42,3,75,1.6,3,1,2006,0
2151,3,0,1,2.0,0,1,2016,1
1020,3,0,108,2.0,0,1,2012,1
781,32,3,20,3.6,3,1,2014,1
5119,43,3,297,1.6,3,1,1987,0
3016,43,4,284,1.9,2,1,2001,0
5592,43,2,195,2.0,0,1,2011,0
4405,43,2,140,2.0,2,1,2007,0
6206,3,3,335,2.0,0,0,1999,2
7244,15,3,57,1.8,3,1,2014,0
5655,17,0,135,2.0,3,1,2006,1
1090,6,0,124,2.4,1,1,2012,1
6657,3,3,245,2.2,3,1,2002,2
6510,42,3,233,1.3,3,1,1984,2
2933,29,1,168,1.7,0,1,2010,0
6890,32,0,136,3.6,3,1,2008,1
1692,43,3,258,1.9,0,1,2004,0
4067,16,3,152,2.0,3,1,2008,0
8711,2,4,210,2.5,0,0,2000,0
8304,33,3,100,1.7,3,1,1986,0
6800,10,3,68,1.3,1,1,2011,0
7529,40,0,250,4.2,0,1,2000,1
5819,31,4,170,1.6,3,1,2003,0
4089,26,0,0,2.2,0,1,2016,1
3055,29,3,355,1.6,2,1,1996,0
8769,13,3,215,2.0,3,1,2006,0
6908,31,5,170,1.6,0,1,2011,0
1511,22,0,81,5.0,3,1,2013,1
2318,18,1,145,3.5,1,1,2003,1
5153,13,5,137,1.8,0,1,2011,0
6472,3,3,400,2.0,3,1,1991,2
4797,40,1,79,1.6,1,1,2012,0
3088,42,4,130,1.5,1,1,2006,2
4804,2,4,278,2.5,0,1,2005,1
8826,12,5,190,1.9,0,1,2001,0
8237,6,3,150,1.6,1,1,2008,0
3827,31,1,112,1.4,1,1,2010,0
6832,27,2,290,2.0,3,1,1990,0
3766,2,4,180,2.0,0,1,2007,0
7687,35,1,66,1.4,3,1,2013,0
6294,27,0,275,3.5,1,1,2000,1
108,43,0,133,2.5,0,1,2007,1
2493,3,3,250,2.5,0,1,2001,2
7109,3,3,230,2.0,1,1,2004,2
